date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:38	35/35	---M--	200	added ('OK')	text/plain	etag:%225a633967-23%22	http://voky.com.ua/robots.txt		(from )
18:49:39	13153/13153	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2013:19:39%20GMT	http://voky.com.ua/showcase/sky-mega-menu/	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/index.html	(from )
18:49:39	24352/24352	---MCZ	200	added ('OK')	text/css	etag:W/%22525a4daa-5f20%22	http://voky.com.ua/showcase/sky-mega-menu/main.css	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/main.css	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:39	1281/1281	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251690cff-501%22	http://voky.com.ua/showcase/_js/main.js	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/_js/main.js	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:40	4569/4569	---MCZ	200	added ('OK')	text/html	etag:W/%2252ca7b61-11d9%22	http://voky.com.ua/showcase/sky-mega-menu/examples/demo-corporate.html	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/examples/demo-corporate.html	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:41	4099/4099	---MCZ	200	added ('OK')	text/html	etag:W/%22527d1a21-1003%22	http://voky.com.ua/showcase/sky-mega-menu/examples/demo-personal.html	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/examples/demo-personal.html	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:41	92594/92594	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252403f31-169b2%22	http://voky.com.ua/showcase/_js/jquery.min.js	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/_js/jquery.min.js	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:42	7894/7894	---MCZ	200	added ('OK')	text/html	etag:W/%22527d1a22-1ed6%22	http://voky.com.ua/showcase/sky-mega-menu/examples/demo-ecommerce.html	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/examples/demo-ecommerce.html	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:44	19692/19692	---M--	200	added ('OK')	image/png	etag:%2251d990dd-4cec%22	http://voky.com.ua/showcase/sky-mega-menu/img/demo-personal.png	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/img/demo-personal.png	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:45	5608/5608	---MCZ	200	added ('OK')	text/html	etag:W/%22527d1a22-15e8%22	http://voky.com.ua/showcase/sky-mega-menu/examples/demo-admin.html	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/examples/demo-admin.html	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:47	45564/45564	---M--	200	added ('OK')	image/png	etag:%2251d990dd-b1fc%22	http://voky.com.ua/showcase/sky-mega-menu/img/demo-corporate.png	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/img/demo-corporate.png	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:48	4374/4374	---MCZ	200	added ('OK')	text/html	etag:W/%22527d1a22-1116%22	http://voky.com.ua/showcase/sky-mega-menu/examples/mobile-switcher.html	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/examples/mobile-switcher.html	(from http://voky.com.ua/showcase/sky-mega-menu/)
18:49:48	32632/32632	---M--	200	added ('OK')	image/png	etag:%2251d990dd-7f78%22	http://voky.com.ua/showcase/sky-mega-menu/img/demo-ecommerce.png	C:/My%20Web%20Sites/CSS%20Menu%204/voky.com.ua/showcase/sky-mega-menu/img/demo-ecommerce.png	(from http://voky.com.ua/showcase/sky-mega-menu/)
